,Location,Inhabitants,Latitude,Longitude,Postalcodes
91,Velden am Wörther See,8631.0,46.615233,14.038367,"9220,9231,9536"
92,Kitzbühel,8540.0,47.4333333,12.3833333,6370
93,Groß-Enzersdorf,8532.0,48.2027778,16.5508333,2301
94,Rum,8467.0,47.2833333,11.45,6063
95,Maria Enzersdorf,8464.0,48.1,16.2833333,"2340,2344"
96,Sankt Johann in Tirol,8342.0,47.5166667,12.4333333,6380
97,Fohnsdorf,8316.0,47.208270434,14.678039108,"8720,8753"
98,Ebensee,8284.0,47.8,13.7666667,4802
99,Finkenstein am Faaker See,8240.0,46.562736,13.870458,"9580,9581,9582,9583,9584,9585,9586,9587"
100,Trofaiach,8182.0,47.424807374,15.009636167,8793
101,Deutschlandsberg,8162.0,46.815559105,15.213503972,"8523,8524,8530"
102,Purkersdorf,8038.0,48.2,16.1666667,"1140,3002,3011,3012"
103,Wolfurt,7959.0,47.4666667,9.75,6960
104,Herzogenburg,7921.0,48.2860,15.6970,"3130,3454"
105,Engerwitzdorf,7804.0,48.35,14.45,"4040,4209,4222,4223"
106,Zeltweg,7743.0,47.190665332,14.755403588,8740
107,Landeck,7580.0,47.0666667,10.4666667,6500
108,Bad Goisern,7565.0,47.6333333,13.6166667,4822
109,Bruck an der Leitha,7554.0,48.0255,16.7790,"2460,2462"
110,Strasshof an der Nordbahn,7534.0,48.3166667,16.6420,2231
111,Ebenthal in Kärnten,7525.0,46.609444,14.355556,"9020,9065,9131"
112,Langenzersdorf,7524.0,48.3,16.35,"1210,2100,2103"
113,Höchst,7522.0,47.4666667,9.6330556,6973
114,Wattens,7503.0,47.2920,11.6,6112
115,Ferlach,7450.0,46.526361,14.301525,"9162,9163,9170"
116,Freistadt,7445.0,48.5117,14.5050,4240
117,Perg,7403.0,48.2666667,14.7666667,"4311,4320"
118,Leibnitz,7368.0,46.780657396,15.536812089,"8430,8435"
119,Neulengbach,7323.0,48.2,15.9100,"3040,3051,3061,3072"
120,Vorchdorf,7255.0,48.0,13.9166667,4655
121,Hermagor-Pressegger See,7197.0,46.63,13.36,"9615,9620,9624,9631"
122,Langenlois,7039.0,48.4666667,15.6666667,"3550,3553,3561"
123,Deutsch-Wagram,7011.0,48.2970,16.5570,2232
124,Bad Hofgastein,7009.0,47.1710,13.1070,5630
125,Liezen,6959.0,47.568500845,14.236361022,8940
126,Kottingbrunn,6878.0,47.9530,16.2310,2542
127,Jenbach,6854.0,47.4,11.7833333,6200
128,Straßwalchen,6842.0,47.9833333,13.25,"4894,5204"
129,Grödig,6837.0,47.7333333,13.0333333,"5082,5083"
130,Sankt Andrä-Wördern,6834.0,48.325,16.2278,"3413,3422,3423"
131,Gratkorn,6828.0,47.135476968,15.339203020,"8046,8101,8102,8114"
132,Arnoldstein,6815.0,46.548119,13.710725,"9586,9587,9601,9602"
133,Sieghartskirchen,6808.0,48.25,16.0,"3004,3441,3443,3451"
134,Zirl,6796.0,47.2833333,11.2333333,6170
135,Oberwart,6792.0,47.287778,16.203056,7400
136,Völs,6713.0,47.25,11.3333333,6176
137,Radenthein,6701.0,46.8005556,13.7116667,"9545,9873"
