,Location,Inhabitants,Latitude,Longitude,Postalcodes
409,Helpfau-Uttendorf,3314.0,48.1560,13.1200,"5233,5241,5261,5270,5271"
410,Ziersdorf,3310.0,48.5166667,15.9166667,"3710,3711"
411,Angern an der March,3303.0,48.3777778,16.8280556,"2252,2261,2262"
412,Ternberg,3293.0,47.9333333,14.35,"4451,4452,4453,4594"
413,Tiefgraben,3290.0,47.8666667,13.3333333,"4893,5310"
414,Ardagger,3285.0,48.1666667,14.8166667,"3300,3321,3322,3323"
415,Mondsee,3280.0,47.8666667,13.35,5310
416,Mautern an der Donau,3280.0,48.39375,15.5776,3512
417,Gumpoldskirchen,3277.0,48.05,16.2833333,"2352,2353"
418,Inzing,3276.0,47.274067,11.19697,6401
419,Liebenfels,3276.0,46.738056,14.286944,"9300,9555,9556,9560"
420,Semriach,3275.0,47.217669543,15.403469285,"8102,8114,8163"
421,Sankt Michael in Obersteiermark,3268.0,47.338599234,15.019149290,"8713,8770"
422,Lamprechtshausen,3264.0,47.9833333,12.95,"5110,5112"
423,Hausleiten,3251.0,48.3833333,16.1,"2000,3464"
424,Breitenbach am Inn,3233.0,47.4833333,11.9666667,6252
425,Mäder,3224.0,47.35,9.6166667,6841
426,Anthering,3219.0,47.8810,13.0120,5102
427,Ligist,3213.0,46.993154507,15.206772853,8563
428,Gössendorf,3208.0,46.996147030,15.485088599,"8041,8071,8072"
429,Lannach,3206.0,46.941679492,15.330707593,"8502,8503,8511"
430,Nußdorf-Debant,3192.0,46.8666667,12.8166667,"9900,9990"
431,Königswiesen,3186.0,48.406154,14.838944,"4280,4281,4282"
432,Bad Mitterndorf,3168.0,47.555632392,13.929681417,8983
433,Fehring,3164.0,46.936243745,16.010967165,"8350,8353"
434,Rechnitz,3162.0,47.306944,16.438333,7471
435,Behamberg,3155.0,48.0350,14.4971,4441
436,Zwischenwasser,3151.0,47.2830556,9.7,"6835,"
437,Kirchberg an der Pielach,3151.0,48.0166667,15.4333333,"3203,3204"
438,Schörfling am Attersee,3150.0,47.9333333,13.6,4861
439,Werfen,3148.0,47.4666667,13.1833333,"5450,5451,5452"
440,Deutschkreutz,3147.0,47.601667,16.628056,7301
441,Seitenstetten,3121.0,48.0333333,14.65,"3340,3352,3353"
442,Kronstorf,3115.0,48.1333333,14.45,"4470,4483,4484"
443,Tillmitsch,3105.0,46.811205968,15.515873670,"8430,8451"
444,Grein,3104.0,48.2166667,14.85,4360
445,Kaltenleutgeben,3103.0,48.1166667,16.1833333,"2372,2380,2391,2393"
446,Pinggau,3102.0,47.445005796,16.065192713,"2872,7421,7423,8243"
447,Sankt Ulrich bei Steyr,3098.0,48.0166667,14.4166667,"4400,4442,4443,4451"
448,Rauris,3095.0,47.2166667,13.0,5661
449,Koppl,3093.0,47.808816,13.156279,"5023,5321"
450,Leogang,3093.0,47.4390,12.7610,5771
451,Weißenstein,3079.0,46.6822,13.7236,"9500,9710,9721,9722"
452,Oberneukirchen,3071.0,48.45,14.2166667,"4173,4181,4182,4183"
453,Stallhofen,3069.0,47.045964693,15.216773518,"8113,8151,8152,8570"
454,Gamlitz,3068.0,46.720602986,15.553076792,"8451,8461,8462,8463"
455,Krumpendorf am Wörther See,3068.0,46.625556,14.211389,"9061,9201,9210"
456,Tragwein,3066.0,48.3333333,14.6166667,"4230,4284,4293,4311"
457,Wagrain,3062.0,47.3352778,13.2988889,5602
458,Lilienfeld,3061.0,47.9166667,15.6,3180
459,Maishofen,3059.0,47.3666667,12.8,"5700,5751"
460,Brückl,3055.0,46.753056,14.535833,"9064,9371"
461,Wieselburg-Land,3044.0,48.1272,15.1309,"3250,3251,3252,3281,3371,3373"
462,Neumarkt im Mühlkreis,3036.0,48.4166667,14.4833333,"4211,4212"
463,Schlüßlberg,3036.0,48.2180,13.8720,"4632,4707"
464,Mieming,3033.0,47.3,10.9833333,6414
465,Neufeld an der Leitha,3033.0,47.866944,16.377222,2491
466,Ulrichsberg,3028.0,48.6750,13.9110,"4160,4161,4162,4163"
467,Sankt Florian am Inn,3027.0,48.45,13.4333333,4782
468,Sankt Pantaleon,3024.0,48.0166667,12.9,"5120,5121"
469,Seefeld in Tirol,3021.0,47.3333333,11.1833333,6100
470,Ostermiething,3021.0,48.05,12.8333333,"5120,5121"
471,Hochburg-Ach,3020.0,48.130183,12.877825,5122
472,Alberschwende,3019.0,47.45,9.8166667,6861
473,Magdalensberg,3019.0,46.701111,14.431111,"9020,9063,9064"
474,Ernstbrunn,3006.0,48.5280,16.3605,"2113,2115,2116"
475,Sankt Leonhard am Forst,2996.0,48.1410,15.2870,"3240,3241,3243"
476,Groß-Siegharts,2993.0,48.7833333,15.4,3812
477,Oberndorf an der Melk,2991.0,48.0640,15.2180,"3241,3242,3281"
478,Waldhausen im Strudengau,2988.0,48.2666667,14.9333333,"4360,4382,4391,4392"
479,Klaus,2985.0,47.3166667,9.65,6833
480,Ludesch,2983.0,47.2,9.7830556,6713
481,Katzelsdorf,2977.0,47.7833333,16.2833333,"2700,2801"
482,Mattsee,2972.0,47.9666667,13.1,5163
483,Göfis,2967.0,47.2330556,9.6330556,6811
484,Kaprun,2966.0,47.2666667,12.7666667,5710
485,Wartberg an der Krems,2965.0,47.9833333,14.1166667,4552
486,Frauental an der Laßnitz,2964.0,46.826187068,15.254305494,"8523,8530"
487,Mühldorf bei Feldbach,2960.0,46.936558941,15.904053033,"8330,8344"
488,Bürs,2955.0,47.1497222,9.8,6706
489,Pottenstein,2954.0,47.9590,16.0960,"2563,2564"
490,Mank,2952.0,48.1115,15.3410,"3233,3240"
491,Frantschach-Sankt Gertraud,2952.0,46.8656,14.887,"9400,9413"
492,Raabs an der Thaya,2950.0,48.85,15.5,"2094,2095,3820,3823,3824"
493,Fließ,2946.0,47.1166667,10.6166667,"6473,6500,6521"
494,Saalbach-Hinterglemm,2945.0,47.375,12.6,"5753,5754"
495,Fernitz,2941.0,46.974051024,15.498382267,8072
496,Groß Sankt Florian,2938.0,46.823409279,15.316160822,8522
497,Arzl im Pitztal,2933.0,47.2,10.7666667,6471
498,Göllersdorf,2932.0,48.4930,16.1210,2013
499,Pirka,2930.0,46.997472457,15.390997462,"8054,8073,8144"
500,Lichtenwörth,2925.0,47.8333333,16.2833333,"2493,2700,7202"
501,Poggersdorf,2923.0,46.650722,14.450692,"9064,9121,9131"
502,Grafenegg,2923.0,48.4166667,15.7333333,"3485,3492"
503,Markt Hartmannsdorf,2908.0,47.054879751,15.842539316,"8311,8312"
504,Pfaffstätten,2906.0,48.0166667,16.2666667,2511
505,Rainbach im Mühlkreis,2903.0,48.55,14.4666667,"4193,4240,4261"
506,Taufkirchen an der Pram,2903.0,48.4100,13.5380,"4774,4775,4791"
507,Biedermannsdorf,2902.0,48.0833333,16.3500,"2351,2362"
508,Umhausen,2901.0,47.1333333,10.9333333,6441
509,Eisbach,2901.0,47.135011,15.285058,"8103,8111,8112,8113,8114"
510,Wallern an der Trattnach,2899.0,48.2333333,13.95,"4611,4631,4701,4702"
511,Kirchschlag in der Buckligen Welt,2896.0,47.5,16.2833333,"2812,2853,2860"
512,Weißkirchen an der Traun,2894.0,48.1666667,14.1333333,4616
513,Aurolzmünster,2893.0,48.25,13.45,"4910,4971,4972,4973"
514,Wolfern,2890.0,48.0833333,14.3666667,4493
515,Oberaich,2882.0,47.400670236,15.219763655,8600
516,Oberpullendorf,2882.0,47.5,16.516667,"7304,7350"
517,Sankt Anton am Arlberg,2869.0,47.1333333,10.2666667,6580
518,Kirchbach,2866.0,46.641756,13.185608,"9631,9632,9633,9634"
519,Uttendorf,2861.0,47.2833333,12.5666667,5723
520,Veitsch,2859.0,47.580422030,15.493831566,"8663,8664"
521,Marchegg,2858.0,48.2790,16.9090,"2293,2294"
522,Großweikersdorf,2856.0,48.4725,15.9833333,3701
523,Lasberg,2852.0,48.471504,14.5402,"4240,4264,4271,4291,4292"
524,Münster,2846.0,47.4166667,11.8333333,6232
525,Reichenau an der Rax,2842.0,47.7,15.8333333,"2651,2654"
526,Köttmannsdorf,2841.0,46.562592,14.233553,"9071,9073,9161"
527,Brixlegg,2840.0,47.4166667,11.8833333,6230
528,Weitra,2839.0,48.7,14.8900,3970
529,Taxenbach,2839.0,47.2930,12.9640,"5651,5660,5662"
530,Faistenau,2836.0,47.7777,13.2333333,5324
531,Esternberg,2831.0,48.5369444,13.6069444,"4091,4092,4784"
532,Enzersdorf an der Fischa,2826.0,48.0840,16.6060,"2431,2433"
533,Frauenkirchen,2824.0,47.841111,16.919444,7132
534,Pichl bei Wels,2817.0,48.1833333,13.9,"4631,4632,4633,4701,4702"
535,Bruckneudorf,2815.0,48.016667,16.766667,"2460,2462"
536,Oberperfuss,2806.0,47.2333,11.25,6173
537,Prambachkirchen,2806.0,48.3166667,13.9166667,"4074,4730,4731,4732"
538,Hohenau an der March,2805.0,48.6030,16.9100,2273
539,Sankt Wolfgang im Salzkammergut,2802.0,47.74026,13.444217,"5350,5351,5360"
540,Wiesen,2797.0,47.739444,16.34,"7202,7203"
541,Pöttsching,2792.0,47.8056,16.3708,"7033,7202"
542,Katsdorf,2791.0,48.3166667,14.4666667,"4223,4231,4312"
543,Sankt Margarethen im Burgenland,2776.0,47.80335,16.60694,7062
544,Markt Piesting,2776.0,47.8666667,16.1333333,2753
545,Forchtenstein,2775.0,47.714,16.35,7212
546,Bad Zell,2770.0,48.3033,14.43,"4274,4283,4293"
547,Krenglbach,2766.0,48.2,13.95,"4631,4702"
548,Thiersee,2762.0,47.5900,12.0833333,6335
549,Sankt Georgen bei Salzburg,2759.0,47.9902778,12.8894444,5113
550,Schlierbach,2756.0,47.9333333,14.1166667,"4552,4553,4560"
551,Ramsau am Dachstein,2755.0,47.422650067,13.654059745,8972
552,Puchberg am Schneeberg,2754.0,47.7833333,15.9,"2733,2734,2761"
553,Bad Fischau-Brunn,2749.0,47.825,16.1600,"2700,2721,2752"
554,Lurnfeld,2747.0,46.8373,13.3840,"9811,9812,9813,9814"
555,Großraming,2742.0,47.8833333,14.55,4463
556,Furth bei Göttweig,2731.0,48.3666667,15.6,3511
557,Elixhausen,2730.0,47.8666667,13.0666667,5161
558,Altlengbach,2725.0,48.1520,15.9310,"3032,3033,3051,3052,3053"
559,Grafenstein,2722.0,46.610214,14.467192,"9121,9131"
560,Gmünd in Kärnten,2717.0,46.9067,13.535,9853
561,Sankt Oswald bei Freistadt,2713.0,48.5,14.5833333,"4251,4271,4294"
562,Vandans,2710.0,47.0833333,9.8666667,6773
563,Eben am Achensee,2703.0,47.4166667,11.7590,"6212,6213,6215"
564,Trautmannsdorf an der Leitha,2701.0,48.0233,16.6417,"2454,2463"
565,Siegendorf,2701.0,47.7813889,16.54222,7011
566,Ebenfurth,2698.0,47.8666667,16.3666667,"2490,2601,2603"
567,Gutau,2694.0,48.4,14.6,"4230,4293,4294"
568,Langenstein,2691.0,48.25,14.4666667,"4222,4310,4312"
569,Rohrbach bei Mattersburg,2690.0,47.7088,16.4247,7222
570,Admont,2687.0,47.575464043,14.461290388,8911
571,Ehrwald,2685.0,47.4,10.9167,6632
572,Hausmannstätten,2681.0,46.990159842,15.509989710,8071
573,Pöls,2680.0,47.220679619,14.585660291,"8753,8754,8761"
574,Ellmau,2676.0,47.5166667,12.3,6352
575,Grafenwörth,2675.0,48.4,15.7833333,"3483,3484"
576,Berg bei Rohrbach,2672.0,48.5666667,13.9833333,"4150,4170"
577,Laxenburg,2671.0,48.0700,16.3550,"2351,2361"
578,Irdning,2668.0,47.505712959,14.104853656,8952
579,Reith im Alpbachtal,2661.0,47.4166667,11.8833333,"6230,6235,6236,6262"
580,Feistritz im Rosental,2656.0,46.5225,14.171667,"9162,9181"
581,Pörtschach am Wörther See,2654.0,46.635556,14.1425,9210
582,Maria-Anzbach,2652.0,48.185,15.9317,"3032,3033,3034,3040"
583,Kappl,2651.0,47.0666667,10.3833333,"6553,6555"
584,Gröbming,2640.0,47.445116478,13.901785623,8962
585,Niklasdorf,2634.0,47.396499388,15.157894004,8712
586,Erlach,2633.0,47.7166667,16.2166667,"2822,2823,2833"
587,Gallspach,2629.0,48.2,13.8166667,4713
588,Hornstein,2627.0,47.880835,16.445833,"2491,7053"
589,Trumau,2626.0,47.9966,16.3420,2521
590,Bad Bleiberg,2625.0,46.624244,13.687847,"9530,9531"
591,Munderfing,2622.0,48.0666667,13.1833333,"5222,5230"
592,Purbach am Neusiedler See,2619.0,47.91361,16.695833,7083
593,Flachau,2619.0,47.3333333,13.4,"5541,5542"
594,Theresienfeld,2613.0,47.85,16.2333333,2604
595,Zellerndorf,2608.0,48.6950,15.9540,"2051,2073"
596,Ilz,2608.0,47.086981723,15.925535844,"8262,8265"
597,Tulbing,2608.0,48.2833333,16.1166667,"3001,3430,3434"
598,Friedberg,2605.0,47.439728686,16.055634804,"8240,8243"
599,Brixen im Thale,2598.0,47.45,12.25,6364
600,Hofstetten-Grünau,2597.0,48.0875,15.5042,"3150,3202,3203,3233"
601,Neuhofen an der Ybbs,2596.0,48.0566,14.8554,"3363,3364"
602,Neukirchen am Großvenediger,2596.0,47.25,12.2833333,5741
603,Vitis,2592.0,48.75,15.1666667,"3902,3932"
604,Laßnitzhöhe,2586.0,47.075404647,15.576833900,"8075,8301,8302"
605,Kematen in Tirol,2585.0,47.25,11.2666667,6175
606,Riegersburg,2584.0,47.001262182,15.935649165,"8312,8313,8330,8333"
607,Münzkirchen,2580.0,48.4833333,13.5666667,4792
608,Tarrenz,2578.0,47.2666667,10.7666667,6464
609,Burgkirchen,2578.0,48.2020,13.1010,"4963,5145,5261,5270,5271,5274,5280,5282"
610,Haslach an der Mühl,2575.0,48.5833333,14.0333333,4170
611,Sankt Georgen am Ybbsfelde,2572.0,48.1300,14.9540,"3300,3372"
612,Eisenkappel-Vellach,2572.0,46.4863,14.5929,"9133,9135"
613,Pöggstall,2559.0,48.3166667,15.201667,"3650,3653,3663"
614,Dietach,2558.0,48.0833333,14.4166667,"4407,4484"
615,Matzen-Raggendorf,2554.0,48.415,16.6646,"2215,2223,2243"
616,Buch in Tirol,2544.0,47.3666667,11.75,6200
617,Alpbach,2543.0,47.3833333,11.9333333,6236
618,Kainbach bei Graz,2543.0,47.091192,15.527286,"8010,8044,8047,8063,8301"
619,Gampern,2542.0,47.9833333,13.55,"4851,4871"
620,Kallham,2538.0,48.2815,13.7140,"4720,4721"
621,Mettmach,2537.0,48.1666667,13.35,4931
622,Hagenberg im Mühlkreis,2535.0,48.3666667,14.5166667,"4230,4232"
623,Atzenbrugg,2534.0,48.2910,15.9000,3452
624,Wölbling,2530.0,48.31,15.5717,"3122,3124,3125"
625,Kilb,2527.0,48.1010,15.4090,"3233,3240"
626,Grafendorf bei Hartberg,2525.0,47.340786729,15.991253919,"8230,8232,8233,8234"
627,Pfunds,2523.0,46.9666667,10.55,6542
628,Stattegg,2520.0,47.131781,15.429189,"8045,8046"
629,Köstendorf,2516.0,47.95,13.2,"5202,5203"
630,Sankt Pantaleon-Erla,2514.0,48.2,14.5667,"4300,4303,4482"
631,Niederndorf,2511.0,47.65,12.2166667,6342
632,Illmitz,2511.0,47.763056,16.800278,7142
633,Aigen im Ennstal,2507.0,47.520577296,14.143207105,"8940,8943,8952"
634,Satteins,2505.0,47.2166667,9.6666667,6822
635,Pernitz,2505.0,47.8980,15.9580,"2761,2763"
636,Gschwandt,2504.0,47.9355,13.8466,"4664,4810,4816,4817"
637,Hirtenberg,2488.0,47.9318,16.1755,2552
638,Neukirchen an der Vöckla,2486.0,48.0333333,13.5333333,"4850,4871,4872,4873"
639,Silz,2482.0,47.2666667,10.9333333,"6183,6424"
640,Ried im Traunkreis,2478.0,48.0166667,14.0666667,"4551,4552,4642,4643"
641,Michelhausen,2477.0,48.2909,15.9408,"3441,3451,3452"
642,Reißeck,2466.0,46.8936,13.2831,"9815,9816"
643,Haus,2465.0,47.409515534,13.767530574,"8966,8967,8970,8972"
644,Obervellach,2460.0,46.9330,13.2025,9821
645,Bad Kreuzen,2460.0,48.2666667,14.8,"4323,4352,4360,4362,4363"
646,Kematen an der Ybbs,2456.0,48.026944,14.767778,"3331,3361"
647,Rabenstein an der Pielach,2455.0,48.05,15.4666667,3203
648,Pischelsdorf in der Steiermark,2454.0,47.173534164,15.805979762,8212
649,Tullnerbach,2453.0,48.2,16.1,"3004,3011,3013,3021"
650,Kaindorf an der Sulm,2452.0,46.797519079,15.537853471,8430
651,Schattendorf,2451.0,47.710833,16.510556,7022
652,Ennsdorf,2451.0,48.2125,14.489167,4482
653,Wienerwald,2447.0,48.0944,16.1222,"2392,2393"
654,Weinitzen,2444.0,47.1410,15.440337543,"8044,8045,8061,8062"
655,Windischgarsten,2442.0,47.7166667,14.3333333,4580
656,Andau,2441.0,47.774167,17.034167,7163
657,Kirchberg am Wechsel,2437.0,47.6100,15.9910,"2640,2870,2880,2881"
658,Sankt Peter-Freienstein,2436.0,47.397502095,15.033029460,8792
659,Niedernsill,2434.0,47.2833333,12.65,5722
660,Stegersbach,2433.0,47.16,16.166945,7551
661,Pernegg an der Mur,2430.0,47.358790287,15.344684406,"8131,8132,8614"
662,Lichtenberg,2428.0,48.3666667,14.25,"4040,4201"
663,Rohrbach in Oberösterreich,2419.0,48.5333333,13.95,4150
664,Mitterdorf im Mürztal,2419.0,47.534972689,15.511495879,8662
665,Ulrichskirchen-Schleinbach,2418.0,48.4111,16.4889,"2122,2123"
666,Schiefling am Wörthersee,2415.0,46.604714,14.096561,"9220,9535,9536"
667,Blindenmarkt,2411.0,48.1280,14.9880,3372
668,Großgmain,2408.0,47.7240,12.9180,5084
669,Euratsfeld,2407.0,48.083017,14.932722,3324
670,Wies,2407.0,46.719498833,15.271687081,"8551,8552"
671,Pitten,2403.0,47.7161269,16.1864776,"2822,2823"
672,Wullersdorf,2399.0,48.6270,16.1,"2022,2023,2041,2042"
673,Ferndorf,2398.0,46.736111,13.626389,"9702,9873"
674,Taiskirchen im Innkreis,2397.0,48.2630,13.5666667,"4751,4753"
675,Herzogsdorf,2392.0,48.4310,14.1133,"4101,4112,4113,4173,4175,4181"
676,Leopoldsdorf im Marchfelde,2390.0,48.2244,16.6911,2285
677,Stainz,2383.0,46.896486391,15.263247150,"8510,8524"
678,Weitensfeld im Gurktal,2381.0,46.848436,14.191575,"9343,9344,9345"
679,Alland,2379.0,48.058333,16.080556,"2500,2532,2533,2534,2565"
680,Bad Wimsbach-Neydharting,2375.0,48.0666667,13.9,4654
681,Oberhaag,2373.0,46.685672789,15.332893560,"8443,8453,8454,8455,8544"
682,Sankt Peter am Hart,2370.0,48.25,13.1,"4962,4963,5274,5280"
683,Litschau,2368.0,48.9440,15.0460,"3873,3874"
684,Thannhausen,2367.0,47.225837277,15.644036108,8160
685,Metnitz,2367.0,46.980669,14.217275,"8850,9362,9363"
686,Krottendorf-Gaisfeld,2365.0,47.013678,15.21305,"8152,8563,8564,8570"
687,Himmelberg,2362.0,46.748386,14.037058,"9552,9560,9562,9563"
688,Aspach,2362.0,48.184833,13.3055,"4931,4932,4933,5251,5252"
689,Lassee,2361.0,48.2260,16.8220,2291
690,Natternbach,2356.0,48.4,13.75,4723
691,Tschagguns,2356.0,47.0833333,9.9,6774
692,Wildon,2354.0,46.887034382,15.520818664,8410
693,Sankt Marein im Mürztal,2350.0,47.477122964,15.374118388,8641
694,Bad Häring,2350.0,47.5,12.1167,6323
695,Paudorf,2349.0,48.35,15.6166667,3511
696,Steinakirchen am Forst,2349.0,48.0675,15.0483,"3261,3262,3371"
697,Mörbisch am See,2347.0,47.7533,16.6675,7072
698,Nötsch im Gailtal,2343.0,46.591542,13.627172,"9531,9611,9612,9623"
699,Keutschach am See,2332.0,46.593056,14.187778,9074
700,Lochen,2326.0,48.1166667,13.1333333,5221
701,Weyer,2326.0,47.7972,14.6194,"3335,4464,8934"
702,Großklein,2316.0,46.737284434,15.442098247,"8441,8443,8451,8452,8453,8462,8463"
703,Schardenberg,2315.0,48.5333333,13.5,"4783,4784,4785,4791,4792"
704,Grafenbach-Sankt Valentin,2314.0,47.6767,16.0133,"2620,2630,2632"
705,Sankt Peter am Ottersbach,2309.0,46.799028860,15.759438569,8093
706,Dunkelsteinerwald,2308.0,48.3000,15.4800,"3122,3382,3392,3642"
707,Raab,2306.0,48.35,13.65,"4721,4760,4762"
708,Mehrnbach,2306.0,48.2166667,13.4333333,"4910,4941,4971"
709,Sarleinsbach,2305.0,48.5430,13.9050,"4150,4152"
710,Gramatneusiedl,2303.0,48.0166667,16.4833333,"2440,2441"
711,Schwoich,2297.0,47.55,12.1333333,6330
712,Bad Gams,2296.0,46.869695264,15.222473576,"8510,8523,8524,8530"
713,Bernstein,2296.0,47.405,16.255556,"2852,7434"
714,Maria Lankowitz,2295.0,47.063876213,15.063112200,8591
715,Mariapfarr,2292.0,47.15,13.75,5571
716,Münchendorf,2289.0,48.0333333,16.3833333,2482
717,Nußbach,2288.0,47.9666667,14.1666667,"4542,4553"
718,Oberschützen,2287.0,47.349722,16.208333,"7400,7432"
719,Payerbach,2285.0,47.6833333,15.85,"2640,2650,2671"
720,Bruck-Waasen,2283.0,48.32,13.74,"4720,4721,4722"
721,Goldegg,2283.0,47.3190,13.1,"5621,5622,5651"
722,Wartberg im Mürztal,2283.0,47.525395076,15.495115380,8661
723,Lohnsburg am Kobernaußerwald,2281.0,48.15,13.4,4923
724,Sankt Gallenkirch,2280.0,47.0166667,9.9666667,"6787,6791"
725,Annaberg-Lungötz,2274.0,47.5167,13.4333,"5523,5524"
726,Dölsach,2270.0,46.8283333,12.8452778,9991
727,Obritzberg-Rust,2269.0,48.2763,15.6026,"3107,3121,3123,3125"
728,Sattledt,2269.0,48.0666667,14.05,4642
729,Mauerkirchen,2268.0,48.1833333,13.1333333,5270
730,Maria Buch-Feistritz,2267.0,47.1561,14.7183,"8734,8740,8741,8750"
731,Weyer Markt,2264.0,47.86,14.6700,3335
732,Mönchhof,2262.0,47.881389,16.941944,7123
733,Unterweißenbach,2261.0,48.4333333,14.7666667,4273
734,Hollenegg,2260.0,46.791007864,15.215411938,"8530,8541"
735,Bartholomäberg,2256.0,47.0833333,9.9,6780
736,Sankt Marienkirchen an der Polsenz,2255.0,48.265036,13.929531,"4075,4076,4732"
737,Stubenberg,2252.0,47.243863653,15.801803919,"8222,8223,8224"
738,Oetz,2250.0,47.2,10.9,6433
739,Andelsbuch,2249.0,47.4166667,9.8833333,6866
740,Dürnkrut,2248.0,48.4750,16.85,2263
741,Obdach,2245.0,47.068807791,14.694750524,8742
742,Pöndorf,2245.0,48.0,13.3833333,"4891,5212"
743,Spital am Pyhrn,2243.0,47.65,14.3333333,"4575,4580,4582"
744,Straßburg,2243.0,46.895558,14.331364,"9330,9341,9342,9360"
745,Weerberg,2241.0,47.3,11.6666667,6133
746,Schlins,2235.0,47.2,9.7,6824
747,Ruprechtshofen,2234.0,48.1360,15.2770,"3243,3244,3252"
748,Weistrach,2234.0,48.0550,14.5833333,"3351,3352"
749,Pöllauberg,2233.0,47.315522703,15.857507415,8225
750,Steinerkirchen an der Traun,2233.0,48.0833333,13.95,"4652,4655"
751,Sitzendorf an der Schmida,2229.0,48.5997,15.9400,"3710,3714,3721"
752,Eberstalzell,2229.0,48.04,13.9867,4653
753,Sankt Aegyd am Neuwalde,2229.0,47.85,15.55,"3193,3195,3222,8630,8694"
754,Frankenfels,2220.0,47.9666667,15.3166667,"3212,3213,3214"
755,Bludesch,2220.0,47.2,9.7330556,6719
756,Thüringen,2218.0,47.2,9.7666667,6712
757,Persenbeug-Gottsdorf,2213.0,48.1900,15.0867,3680
758,Großebersdorf,2213.0,48.3666667,16.4666667,2203
759,Altenfelden,2212.0,48.4833333,13.9666667,"4120,4121"
760,Göstling an der Ybbs,2210.0,47.8,14.9166667,3345
761,Kematen an der Krems,2210.0,48.1,14.1833333,"4531,4532,4550"
762,Thal,2206.0,47.078695697,15.353926505,"8051,8052,8113,8151"
763,Sulz,2203.0,47.2830556,9.65,6832
764,Sankt Stefan ob Stainz,2202.0,46.929606646,15.255123393,"8511,8562"
765,Murau,2201.0,47.110751235,14.169884057,8850
766,Krumbach,2201.0,47.5166667,16.1833333,"2851,2852,2853,2871"
767,Krottendorf,2201.0,47.212210970,15.650620601,"8160,8181"
768,Waldneukirchen,2201.0,47.9833333,14.25,"4522,4523,4540,4594,4595"
769,Sankt Peter am Kammersberg,2200.0,47.187431338,14.186839415,"8832,8842,8843"
770,Nußdorf am Haunsberg,2192.0,47.96,13.01,"5110,5151,5152,5162,5165"
771,Pfarrwerfen,2188.0,47.45,13.2,"5450,5452,5500"
772,Gniebing-Weißenbach,2187.0,46.961222,15.857778,"8330,8332"
773,Steinfeld,2186.0,46.7586111,13.246672,"9753,9754"
774,Peuerbach,2184.0,48.3333333,13.7833333,4722
775,Kirchberg-Thening,2180.0,48.2561,14.144,"4062,4063,4064"
776,Großdietmanns,2176.0,48.6694,14.975,"3950,3961,3962"
777,Rudersdorf,2175.0,47.05,16.1225,"7564,7571"
778,Peggau,2174.0,47.204125732,15.345406929,"8114,8120,8130"
779,Aschach an der Steyr,2172.0,48.0,14.3333333,"4421,4523,4594"
780,Eggelsberg,2171.0,48.0833333,13.0,"5141,5142"
781,Techelsberg am Wörther See,2170.0,46.65,14.1,9210
782,Hartberg Umgebung,2170.0,47.276881,15.931092,"8225,8230,8274"
783,Scharten,2169.0,48.25,14.0333333,"4070,4075,4612"
784,Neuhofen im Innkreis,2168.0,48.1833333,13.4666667,4910
785,Aschach an der Donau,2167.0,48.3666667,14.0333333,4082
786,Sankt Georgen am Walde,2167.0,48.36,14.8950,"4371,4372"
787,Puch bei Weiz,2166.0,47.224162787,15.727178724,"8182,8183,8212"
788,Ladendorf,2160.0,48.5333333,16.4833333,"2125,2126"
789,Sankt Agatha,2159.0,48.3833333,13.8666667,"4083,4084,4730"
790,Maria Rain,2155.0,46.5538889,14.2955556,9161
791,Schwanberg,2154.0,46.756117534,15.199354100,8541
792,Sankt Nikolai im Sausal,2151.0,46.821790098,15.449996890,"8411,8504,8505,8521"
793,Pöllau,2149.0,47.302554935,15.833975211,8225
794,Radfeld,2143.0,47.45,11.9166667,"6240,6250"
795,Bad Gleichenberg,2138.0,46.876644588,15.910700435,8344
796,Pfarrkirchen bei Bad Hall,2134.0,48.0166667,14.2,4540
797,Virgen,2131.0,47.0,12.45,9972
798,Ernsthofen,2127.0,48.127778,14.4825,"4300,4432"
799,Biberbach,2122.0,48.0299,14.7104,"3331,3332,3333,3353,3361"
800,Langenrohr,2119.0,48.3,16.0,"3435,3442"
801,Haag am Hausruck,2119.0,48.1833333,13.6333333,4680
802,Raaba,2115.0,47.030758681,15.492221501,"8071,8074,8302"
803,Wallsee-Sindelburg,2114.0,48.1542,14.7208,"3312,3313"
804,Malta,2113.0,46.954,13.507,"9853,9854"
805,Waldzell,2105.0,48.1333333,13.4333333,4924
806,Gedersdorf,2103.0,48.4333333,15.6872,"3485,3494"
807,Sankt Georgen im Lavanttal,2099.0,46.716667,14.916667,"9422,9423,9470,9472"
808,Krems in Kärnten,2097.0,46.94,13.6000000,"9861,9862"
809,Sankt Lorenz,2093.0,47.8166667,13.3666667,5310
810,Maria Alm am Steinernen Meer,2090.0,47.4060,12.9030,5761
811,Hellmonsödt,2087.0,48.4333333,14.3,4202
812,Sillian,2086.0,46.7527778,12.4211111,9920
813,Leutasch,2086.0,47.3666667,11.15,6105
814,Neukirchen an der Enknach,2082.0,48.1833333,13.05,"5134,5145,5280,5282"
815,Neustadtl an der Donau,2081.0,48.1933,14.9030,"3322,3323,3372"
816,Kefermarkt,2078.0,48.4333333,14.5333333,"4212,4240,4291,4292"
817,Feistritz ob Bleiburg,2078.0,46.55,14.7666667,"9143,9150"
